"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"California State Polytechnic University: Pomona","California","CA","Public","4 Year",17.358,7.353,24711,19233,36591
"California State University: Bakersfield","California","CA","Public","4 Year",13.746,7.147,20893,19027,32773
"California State University: Channel Islands","California","CA","Public","4 Year",16.954,6.817,23771,18697,35651
"California State University: Chico","California","CA","Public","4 Year",12.98,7.618,20598,17122,30102
"California State University: Dominguez Hills","California","CA","Public","4 Year",12.54,6.837,19377,18717,31257
"California State University: East Bay","California","CA","Public","4 Year",13.98,6.834,20814,18714,32694
"California State University: Fresno","California","CA","Public","4 Year",10.587,6.585,17172,18465,29052
"California State University: Fullerton","California","CA","Public","4 Year",15.898,6.87,22768,18750,34648
"California State University: Long Beach","California","CA","Public","4 Year",13.312,6.798,20110,18678,31990
"California State University: Los Angeles","California","CA","Public","4 Year",13.407,6.639,20046,18519,31926
"California State University: Monterey Bay","California","CA","Public","4 Year",12.234,7.143,19377,19023,31257
"California State University: Northridge","California","CA","Public","4 Year",11.122,6.888,18010,17622,28744
"California State University: Sacramento","California","CA","Public","4 Year",14.396,7.204,21600,19084,33480
"California State University: San Bernardino","California","CA","Public","4 Year",12.711,6.656,19367,13064,25775
"California State University: San Marcos","California","CA","Public","4 Year",13.227,7.648,20875,19166,32393
"California State University: Stanislaus","California","CA","Public","4 Year",10.542,7.076,17618,20290,30832
"California University of Pennsylvania","Pennsylvania","PA","Public","4 Year",10.186,11.108,21294,14966,25152
"Calvary University","Missouri","MO","Private","4 Year",5.492,11.164,16656,11164,16656
"Calvin College","Michigan","MI","Private","4 Year",10.2,34.6,44800,34600,44800
"Cameron University","Oklahoma","OK","Public","4 Year",5.452,6.45,11902,15870,21322
"Campbell University","North Carolina","NC","Private","4 Year",11.43,32.5,43930,32500,43930
"Campbellsville University","Kentucky","KY","Private","4 Year",8,25.4,33400,25400,33400
"Canisius College","New York","NY","Private","4 Year",11.3,28.488,39788,28488,39788
"Capital University","Ohio","OH","Private","4 Year",10.842,35.466,46308,35466,46308
"Capitol Technology University","Maryland","MD","Private","4 Year",5.708,25.428,31136,25428,31136
"Cardinal Stritch University","Wisconsin","WI","Private","4 Year",8.44,29.998,38438,29998,38438
"Carl Albert State College","Oklahoma","OK","Public","2 Year",4,3.818,7818,7943,11943
"Carleton College","Minnesota","MN","Private","4 Year",14.085,54.759,68844,54759,68844
"Carlow University","Pennsylvania","PA","Private","4 Year",11.442,29.454,40896,29454,40896
"Carnegie Mellon University","Pennsylvania","PA","Private","4 Year",14.418,55.465,69883,55465,69883
"Carroll College","Montana","MT","Private","4 Year",9.88,35.486,45366,35486,45366
"Carroll University","Wisconsin","WI","Private","4 Year",9.484,31.918,41402,31918,41402
"Carson-Newman University","Tennessee","TN","Private","4 Year",8.81,27.9,36710,27900,36710
"Carthage College","Wisconsin","WI","Private","4 Year",11.99,43.55,55540,43550,55540
"Carver College","Georgia","GA","Private","4 Year",6.6,13.475,20075,13475,20075
"Case Western Reserve University","Ohio","OH","Private","4 Year",15.19,49.042,64232,49042,64232
"Casper College","Wyoming","WY","Public","2 Year",6.88,3.072,9952,7584,14464
"Castleton University","Vermont","VT","Public","4 Year",10.598,12.314,22912,28322,38920
"Catawba College","North Carolina","NC","Private","4 Year",10.488,30.52,41008,30520,41008
"Cazenovia College","New York","NY","Private","4 Year",14.596,34.63,49226,34630,49226
"Cedar Crest College","Pennsylvania","PA","Private","4 Year",11.544,39.216,50760,39216,50760
"Cedarville University","Ohio","OH","Private","4 Year",7.36,30.27,37630,30270,37630
"Centenary College of Louisiana","Louisiana","LA","Private","4 Year",13.4,36.58,49980,36580,49980
"Centenary University","New Jersey","NJ","Private","4 Year",11.444,32.998,44442,32998,44442
"Central Arizona College","Arizona","AZ","Public","2 Year",7.7,2.58,10280,11100,18800
"Central Baptist College","Arkansas","AR","Private","4 Year",7.5,16.2,23700,16200,23700
"Central Christian College of Kansas","Kansas","KS","Private","4 Year",8.286,26.674,34960,26674,34960
"Central College","Iowa","IA","Private","4 Year",10.28,37.295,47575,37295,47575
"Central Community College","Nebraska","NE","Public","2 Year",7.106,3,10106,4320,11426
"Central Connecticut State University","Connecticut","CT","Public","4 Year",12.176,10.616,22792,21856,34032
"Central Lakes College","Minnesota","MN","Public","2 Year",4,5.492,9492,5492,9492
"Central Maine Community College","Maine","ME","Public","2 Year",9.34,3.72,13060,6540,15880
"Central Methodist University","Missouri","MO","Private","4 Year",7.94,24.42,32360,24420,32360
"Central Michigan University","Michigan","MI","Public","4 Year",10.076,12.96,23036,12960,23036
"Central Oregon Community College","Oregon","OR","Public","2 Year",10.77,4.938,15708,13218,23988
"Central Penn College","Pennsylvania","PA","For Profit","4 Year",8.094,18.714,26808,18714,26808
"Central State University","Ohio","OH","Public","4 Year",10.232,6.346,16578,8346,18578
"Central Texas College","Texas","TX","Public","2 Year",5.04,2.7,7740,7050,12090
"Central Washington University","Washington","WA","Public","4 Year",11.115,8.072,19187,23053,34168
"Central Wyoming College","Wyoming","WY","Public","2 Year",6.681,3.12,9801,7632,14313
"Central Yeshiva Tomchei Tmimim-Lubavitch","New York","NY","Private","4 Year",3.5,7.7,11200,7700,11200
"Centre College","Kentucky","KY","Private","4 Year",10.48,41.7,52180,41700,52180
"Chadron State College","Nebraska","NE","Public","4 Year",7.38,7.196,14576,7196,14576
"Chaminade University of Honolulu","Hawaii","HI","Private","4 Year",13.63,25.374,39004,25374,39004
"Champlain College","Vermont","VT","Private","4 Year",15.354,41.01,56364,41010,56364
"Chapman University","California","CA","Private","4 Year",15.828,52.724,68552,52724,68552
"Charleston Southern University","South Carolina","SC","Private","4 Year",10.2,25.5,35700,25500,35700
"Chatham University","Pennsylvania","PA","Private","4 Year",12.09,37.611,49701,37611,49701
"Chestnut Hill College","Pennsylvania","PA","Private","4 Year",11,36.18,47180,36180,47180
"Cheyney University of Pennsylvania","Pennsylvania","PA","Public","4 Year",11.018,9.479,20497,14495,25513
"Chicago State University","Illinois","IL","Public","4 Year",8.724,12.177,20901,20877,29601
"Chowan University","North Carolina","NC","Private","4 Year",9.4,24.98,34380,24980,34380
"Christendom College","Virginia","VA","Private","4 Year",10.28,26.36,36640,26360,36640
"Christian Brothers University","Tennessee","TN","Private","4 Year",7.4,32.82,40220,32820,40220
"Christopher Newport University","Virginia","VA","Public","4 Year",11.46,14.754,26214,27220,38680
"Cincinnati Christian University","Ohio","OH","Private","4 Year",8.36,17.528,25888,17528,25888
"Cisco College","Texas","TX","Public","2 Year",4.355,2.94,7295,5070,9425
"City University of New York: Baruch College","New York","NY","Public","4 Year",15.178,7.261,22439,18531,33709
"City University of New York: City College","New York","NY","Public","4 Year",18.124,7.14,25264,18410,36534
"City University of New York: College of Staten Island","New York","NY","Public","4 Year",18.265,7.289,25554,18559,36824
"City University of New York: Hunter College","New York","NY","Public","4 Year",9.714,7.18,16894,18450,28164
"City University of New York: John Jay College of Criminal Justice","New York","NY","Public","4 Year",17.75,7.27,25020,18540,36290
"City University of New York: Lehman College","New York","NY","Public","4 Year",11.82,7.209,19029,18479,30299
"City University of New York: Queens College","New York","NY","Public","4 Year",12.38,7.338,19718,18608,30988
"Claflin University","South Carolina","SC","Private","4 Year",9.294,16.622,25916,16622,25916
