"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"South Georgia State College","Georgia","GA","Public","4 Year",8.54,3.81,12350,11556,20096
"South Plains College","Texas","TX","Public","2 Year",4.368,2.762,7130,4922,9290
"Southeast Community College","Nebraska","NE","Public","2 Year",4.93,3.128,8058,3758,8688
"Southeast Missouri State University","Missouri","MO","Public","4 Year",8.935,7.418,16353,13155,22090
"Southeastern Baptist College","Mississippi","MS","Private","4 Year",1.7,6.55,8250,6550,8250
"Southeastern Louisiana University","Louisiana","LA","Public","4 Year",8.42,8.165,16585,20643,29063
"Southeastern Oklahoma State University","Oklahoma","OK","Public","4 Year",6.97,6.75,13720,15390,22360
"Southeastern University","Florida","FL","Private","4 Year",9.55,25.36,34910,25360,34910
"Southern Adventist University","Tennessee","TN","Private","4 Year",6.94,21.95,28890,21950,28890
"Southern Arkansas University","Arkansas","AR","Public","4 Year",6.24,8.676,14916,12786,19026
"Southern Arkansas University Tech","Arkansas","AR","Public","2 Year",2.8,5.25,8050,6690,9490
"Southern California Seminary","California","CA","Private","4 Year",5.58,13.3,18880,13300,18880
"Southern Connecticut State University","Connecticut","CT","Public","4 Year",12.86,10.875,23735,22115,34975
"Southern Illinois University Carbondale","Illinois","IL","Public","4 Year",10.622,14.704,25326,14704,25326
"Southern Illinois University Edwardsville","Illinois","IL","Public","4 Year",11.121,12.132,23253,25817,36938
"Southern Maine Community College","Maine","ME","Public","2 Year",9.488,3.82,13308,6640,16128
"Southern Methodist University","Texas","TX","Private","4 Year",16.845,54.493,71338,54493,71338
"Southern Nazarene University","Oklahoma","OK","Private","4 Year",8.496,25.188,33684,25188,33684
"Southern New Hampshire University","New Hampshire","NH","Private","4 Year",13.12,31.136,44256,31136,44256
"Southern Oregon University","Oregon","OR","Public","4 Year",13.199,9.654,22853,25584,38783
"Southern University and Agricultural and Mechanical College","Louisiana","LA","Public","4 Year",9.105,9.123,18228,16472,25577
"Southern University at New Orleans","Louisiana","LA","Public","4 Year",9.04,9.371,18411,11160,20200
"Southern University at Shreveport","Louisiana","LA","Public","2 Year",11.39,4.38,15770,4380,15770
"Southern Utah University","Utah","UT","Public","4 Year",7.09,6.769,13859,20585,27675
"Southern Vermont College","Vermont","VT","Private","4 Year",11,25.511,36511,25511,36511
"Southern Virginia University","Virginia","VA","Private","4 Year",6.766,16.495,23261,16495,23261
"Southern Wesleyan University","South Carolina","SC","Private","4 Year",9.03,25.476,34506,25476,34506
"Southwest Baptist University","Missouri","MO","Private","4 Year",7.72,24.01,31730,24010,31730
"Southwest Minnesota State University","Minnesota","MN","Public","4 Year",7.985,8.632,16617,8632,16617
"Southwest Mississippi Community College","Mississippi","MS","Public","2 Year",3.75,3.28,7030,5980,9730
"Southwest Texas Junior College","Texas","TX","Public","2 Year",4.6,2.978,7578,5808,10408
"Southwestern Adventist University","Texas","TX","Private","4 Year",7.6,21.564,29164,21564,29164
"Southwestern Assemblies of God University","Texas","TX","Private","4 Year",7.5,20.952,28452,20952,28452
"Southwestern Baptist Theological Seminary","Texas","TX","Private","4 Year",2.65,11.74,14390,11740,14390
"Southwestern Christian College","Texas","TX","Private","4 Year",6.042,8.364,14406,8364,14406
"Southwestern Christian University","Oklahoma","OK","Private","4 Year",7.1,18.63,25730,18630,25730
"Southwestern College","Kansas","KS","Private","4 Year",7.76,30.15,37910,30150,37910
"Southwestern Community College","Iowa","IA","Public","2 Year",7.66,5.91,13570,6120,13780
"Southwestern Michigan College","Michigan","MI","Public","2 Year",6.5,5.145,11645,6675,13175
"Southwestern Oklahoma State University","Oklahoma","OK","Public","4 Year",5.83,7.035,12865,13935,19765
"Southwestern Oregon Community College","Oregon","OR","Public","2 Year",7.857,6.009,13866,6009,13866
"Southwestern University","Texas","TX","Private","4 Year",12,42,54000,42000,54000
"Spalding University","Kentucky","KY","Private","4 Year",7.6,24.5,32100,24500,32100
"Spartanburg Methodist College","South Carolina","SC","Private","2 Year",9.375,17.035,26410,17035,26410
"Spelman College","Georgia","GA","Private","4 Year",13.865,29.314,43179,29314,43179
"Spring Arbor University","Michigan","MI","Private","4 Year",10.01,28.81,38820,28810,38820
"Spring Hill College","Alabama","AL","Private","4 Year",13.462,39.464,52926,39464,52926
"Springfield College","Massachusetts","MA","Private","4 Year",12.55,37.445,49995,37445,49995
"St. Ambrose University","Iowa","IA","Private","4 Year",10.47,30.894,41364,30894,41364
"St. Andrews University","North Carolina","NC","Private","4 Year",10.706,26.648,37354,26648,37354
"St. Catherine University","Minnesota","MN","Private","4 Year",9.26,39.669,48929,39669,48929
"St. Charles Borromeo Seminary - Overbrook","Pennsylvania","PA","Private","4 Year",13.7,21.275,34975,21275,34975
"St. Edward's University","Texas","TX","Private","4 Year",13.65,45.428,59078,45428,59078
"St. Francis College","New York","NY","Private","4 Year",14.5,26.188,40688,26188,40688
"St. Francis Medical Center College of Nursing","Illinois","IL","Private","4 Year",3.7,20.46,24160,20460,24160
"St. Francis University","Pennsylvania","PA","Private","4 Year",12.122,36.41,48532,36410,48532
"St. Gregory's University","Oklahoma","OK","Private","4 Year",8.662,22.05,30712,22050,30712
"St. John Fisher College","New York","NY","Private","4 Year",12.4,34.31,46710,34310,46710
"St. John Vianney College Seminary","Florida","FL","Private","4 Year",11,21,32000,21000,32000
"St. John's College","Maryland","MD","Private","4 Year",12.602,53.218,65820,53218,65820
"St. John's College","New Mexico","NM","Private","4 Year",12.148,54.118,66266,54118,66266
"St. John's University","New York","NY","Private","4 Year",17.28,41.76,59040,41760,59040
"St. John's University","Minnesota","MN","Private","4 Year",10.319,44.99,55309,44990,55309
"St. Joseph Seminary College","Louisiana","LA","Private","4 Year",15.15,17.8,32950,17800,32950
"St. Joseph's College of Nursing","New York","NY","Private","2 Year",6,21.195,27195,21195,27195
"St. Lawrence University","New York","NY","Private","4 Year",14.134,54.846,68980,54846,68980
"St. Louis Christian College","Missouri","MO","Private","4 Year",5.05,11.56,16610,11560,16610
"St. Mary's College of Maryland","Maryland","MD","Public","4 Year",13.202,14.806,28008,30568,43770
"St. Mary's University","Texas","TX","Private","4 Year",10.27,30.65,40920,30650,40920
"St. Mary's University of Minnesota","Minnesota","MN","Private","4 Year",9.08,35.14,44220,35140,44220
"St. Mary-of-the-Woods College","Indiana","IN","Private","4 Year",10.914,29.51,40424,29510,40424
"St. Norbert College","Wisconsin","WI","Private","4 Year",9.954,38.129,48083,38129,48083
"St. Olaf College","Minnesota","MN","Private","4 Year",10.85,47.84,58690,47840,58690
"St. Thomas Aquinas College","New York","NY","Private","4 Year",13.25,31.95,45200,31950,45200
"St. Vincent College","Pennsylvania","PA","Private","4 Year",11.47,35.874,47344,35874,47344
"Stanford University","California","CA","Private","4 Year",15.763,51.354,67117,51354,67117
"State Fair Community College","Missouri","MO","Public","2 Year",5.3,3.75,9050,7200,12500
"State Technical College of Missouri","Missouri","MO","Public","2 Year",5.84,6.12,11960,11160,17000
"Stephen F. Austin State University","Texas","TX","Public","4 Year",8.964,10.287,19251,22737,31701
"Stephens College","Missouri","MO","Private","4 Year",10.632,30.95,41582,30950,41582
"Sterling College","Vermont","VT","Private","4 Year",9.9,38.8,48700,38800,48700
"Sterling College","Kansas","KS","Private","4 Year",8.28,26,34280,26000,34280
"Stetson University","Florida","FL","Private","4 Year",13.052,46.03,59082,46030,59082
"Stevens Institute of Technology","New Jersey","NJ","Private","4 Year",15.244,52.202,67446,52202,67446
"Stevenson University","Maryland","MD","Private","4 Year",13.13,36.182,49312,36182,49312
"Stillman College","Alabama","AL","Private","4 Year",7.394,10.938,18332,10938,18332
"Stockton University","New Jersey","NJ","Public","4 Year",12.282,13.739,26021,20866,33148
"Stonehill College","Massachusetts","MA","Private","4 Year",16,42.746,58746,42746,58746
"Suffolk University","Massachusetts","MA","Private","4 Year",17.846,38.566,56412,38566,56412
"Sul Ross State University","Texas","TX","Public","4 Year",8.242,8.309,16551,20759,29001
"Sullivan County Community College","New York","NY","Public","2 Year",9.828,5.69,15518,10504,20332
"SUM Bible College & Theological Seminary","California","CA","Private","4 Year",3.375,9.865,13240,9865,13240
"SUNY College at Brockport","New York","NY","Public","4 Year",13.358,8.412,21770,18192,31550
"SUNY College at Buffalo","New York","NY","Public","4 Year",14.05,8.21,22260,17990,32040
"SUNY College at Cortland","New York","NY","Public","4 Year",12.486,8.558,21044,18338,30824
"SUNY College at Fredonia","New York","NY","Public","4 Year",12.63,8.488,21118,18268,30898
"SUNY College at Geneseo","New York","NY","Public","4 Year",13.61,8.651,22261,18431,32041
"SUNY College at New Paltz","New York","NY","Public","4 Year",13.462,8.254,21716,18034,31496
"SUNY College at Old Westbury","New York","NY","Public","4 Year",11.53,8.143,19673,17923,29453
"SUNY College at Oneonta","New York","NY","Public","4 Year",12.794,8.166,20960,17816,30610
"SUNY College at Oswego","New York","NY","Public","4 Year",14.14,8.44,22580,18220,32360
"SUNY College at Plattsburgh","New York","NY","Public","4 Year",12.988,8.479,21467,18259,31247
"SUNY College at Potsdam","New York","NY","Public","4 Year",13.39,8.462,21852,18242,31632
"SUNY College at Purchase","New York","NY","Public","4 Year",13.764,8.698,22462,18478,32242
"SUNY College of Agriculture and Technology at Cobleskill","New York","NY","Public","2 Year",13.35,8.654,22004,18434,31784
"SUNY College of Agriculture and Technology at Morrisville","New York","NY","Public","4 Year",13.55,8.481,22031,12943,26493
"SUNY College of Environmental Science and Forestry","New York","NY","Public","4 Year",16.6,8.804,25404,18584,35184
"SUNY College of Technology at Alfred","New York","NY","Public","4 Year",12.57,8.57,21140,18350,30920
"SUNY College of Technology at Canton","New York","NY","Public","2 Year",12.9,8.389,21289,18169,31069
"SUNY College of Technology at Delhi","New York","NY","Public","2 Year",12.36,8.36,20720,12330,24690
"SUNY Farmingdale State College","New York","NY","Public","4 Year",13.238,8.306,21544,18086,31324
"SUNY Maritime College","New York","NY","Public","4 Year",12.522,8.283,20805,18063,30585
"SUNY Polytechnic Institute","New York","NY","Public","4 Year",12.722,8.448,21170,18228,30950
"SUNY University at Albany","New York","NY","Public","4 Year",13.664,9.756,23420,26596,40260
"SUNY University at Binghamton","New York","NY","Public","4 Year",15.058,9.808,24866,24488,39546
"SUNY University at Buffalo","New York","NY","Public","4 Year",14.213,10.099,24312,27769,41982
"SUNY University at Stony Brook","New York","NY","Public","4 Year",13.698,9.625,23323,27295,40993
"Susquehanna University","Pennsylvania","PA","Private","4 Year",12.63,47.29,59920,47290,59920
"Sussex County Community College","New Jersey","NJ","Public","2 Year",4.155,6.75,10905,10950,15105
"Swarthmore College","Pennsylvania","PA","Private","4 Year",15.474,52.588,68062,52588,68062
"Sweet Briar College","Virginia","VA","Private","4 Year",13,21,34000,21000,34000
"Syracuse University","New York","NY","Private","4 Year",15.55,51.853,67403,51853,67403
"Tabor College","Kansas","KS","Private","4 Year",9.85,28.245,38095,28245,38095
"Taft College","California","CA","Public","2 Year",4.942,1.38,6322,9120,14062
"Talladega College","Alabama","AL","Private","4 Year",6.704,12.51,19214,12510,19214
"Talmudic University","Florida","FL","Private","4 Year",8,13.25,21250,13250,21250
"Talmudical Academy of New Jersey","New Jersey","NJ","Private","4 Year",3,13.3,16300,13300,16300
"Talmudical Institute of Upstate New York","New York","NY","Private","4 Year",4.4,6.15,10550,6150,10550
"Talmudical Seminary Oholei Torah","New York","NY","Private","4 Year",7.7,9.8,17500,9800,17500
"Talmudical Yeshiva of Philadelphia","Pennsylvania","PA","Private","4 Year",7.425,9.075,16500,9075,16500
"Tarleton State University","Texas","TX","Public","4 Year",11.8,9.077,20877,21412,33212
"Taylor University","Indiana","IN","Private","4 Year",9.614,34.114,43728,34114,43728
"Temple University","Pennsylvania","PA","Public","4 Year",11.916,16.97,28886,29066,40982
"Tennessee State University","Tennessee","TN","Public","4 Year",7.806,8.008,15814,21364,29170
"Tennessee Technological University","Tennessee","TN","Public","4 Year",9.736,9.103,18839,25759,35495
"Tennessee Wesleyan University","Tennessee","TN","Private","4 Year",7.88,24.8,32680,24800,32680
"Texas A&M International University","Texas","TX","Public","4 Year",8.32,8.64,16960,22260,30580
"Texas A&M University","Texas","TX","Public","4 Year",10.436,10.968,21404,36442,46878
"Texas A&M University-Commerce","Texas","TX","Public","4 Year",8.75,8.748,17498,21198,29948
"Texas A&M University-Corpus Christi","Texas","TX","Public","4 Year",10.22,9.909,20129,22131,32351
"Texas A&M University-Kingsville","Texas","TX","Public","4 Year",8.76,8.462,17222,20912,29672
"Texas A&M University-Texarkana","Texas","TX","Public","4 Year",8.732,7.024,15756,22060,30792
"Texas Christian University","Texas","TX","Private","4 Year",12.804,46.95,59754,46950,59754
"Texas College","Texas","TX","Private","4 Year",8,10.008,18008,10008,18008
"Texas Lutheran University","Texas","TX","Private","4 Year",9.72,30.05,39770,30050,39770
"Texas Southern University","Texas","TX","Public","4 Year",10.282,9.173,19455,21623,31905
"Texas State Technical College","Texas","TX","Public","2 Year",5.494,5.25,10744,10020,15514
"Texas State University","Texas","TX","Public","4 Year",9.374,10.935,20309,23385,32759
"Texas Tech University","Texas","TX","Public","4 Year",9.53,11.045,20575,23495,33025
"Texas Wesleyan University","Texas","TX","Private","4 Year",10.559,30.3,40859,30300,40859
"Texas Woman's University","Texas","TX","Public","4 Year",8.181,9.368,17549,21818,29999
"Thaddeus Stevens College of Technology","Pennsylvania","PA","Public","2 Year",8.33,8.03,16360,8030,16360
"The Citadel","South Carolina","SC","Public","4 Year",6.904,14.289,21193,36761,43665
"The College of New Jersey","New Jersey","NJ","Public","4 Year",13.617,16.551,30168,28266,41883
"The King's College","New York","NY","Private","4 Year",14,36.45,50450,36450,50450
"The Master's University and Seminary","California","CA","Private","4 Year",11.2,25.39,36590,25390,36590
"The New School College of Performing Arts","New York","NY","Private","4 Year",18,48.191,66191,48191,66191
"The Sage Colleges","New York","NY","Private","4 Year",12.618,30.857,43475,30857,43475
"Thiel College","Pennsylvania","PA","Private","4 Year",12.6,31.7,44300,31700,44300
"Thomas Aquinas College","California","CA","Private","4 Year",8.4,25,33400,25000,33400
"Thomas College","Maine","ME","Private","4 Year",11.25,26.9,38150,26900,38150
"Thomas Jefferson University: East Falls","Pennsylvania","PA","Private","4 Year",13.465,40.501,53966,40501,53966
"Thomas More College","Kentucky","KY","Private","4 Year",7.95,31.12,39070,31120,39070
"Thomas More College of Liberal Arts","New Hampshire","NH","Private","4 Year",9.7,21.6,31300,21600,31300
"Thomas University","Georgia","GA","Private","4 Year",4.8,16.94,21740,16940,21740
"Three Rivers Community College","Missouri","MO","Public","2 Year",3.44,4.11,7550,6990,10430
"Tiffin University","Ohio","OH","Private","4 Year",10.6,25,35600,25000,35600
"Tillamook Bay Community College","Oregon","OR","Public","2 Year",4.082,4.86,8942,5760,9842
"Toccoa Falls College","Georgia","GA","Private","4 Year",8.33,22.744,31074,22744,31074
"Tohono O'odham Community College","Arizona","AZ","Public","2 Year",7.622,0.987,8609,987,8609
"Tompkins Cortland Community College","New York","NY","Public","2 Year",11.22,6.046,17266,11296,22516
"Torah Temimah Talmudical Seminary","New York","NY","Private","4 Year",3.5,11.05,14550,11050,14550
"Tougaloo College","Mississippi","MS","Private","4 Year",6.643,10.79,17433,10790,17433
"Touro College","New York","NY","Private","4 Year",10.396,16.953,27349,16953,27349
"Towson University","Maryland","MD","Public","4 Year",13.034,9.94,22974,23208,36242
"Transylvania University","Kentucky","KY","Private","4 Year",10.46,38.75,49210,38750,49210
"Treasure Valley Community College","Oregon","OR","Public","2 Year",7.283,5.445,12728,5895,13178
"Trevecca Nazarene University","Tennessee","TN","Private","4 Year",8.4,25.598,33998,25598,33998
"Trine University","Indiana","IN","Private","4 Year",10.81,32.175,42985,32175,42985
"Trinidad State Junior College","Colorado","CO","Public","2 Year",6.898,4.972,11870,7951,14849
"Trinity Baptist College","Florida","FL","Private","4 Year",7.04,12.14,19180,12140,19180
"Trinity Bible College","North Dakota","ND","Private","4 Year",6.132,16.32,22452,16320,22452
"Trinity Christian College","Illinois","IL","Private","4 Year",9.79,30.65,40440,30650,40440
"Trinity College","Connecticut","CT","Private","4 Year",14.75,56.91,71660,56910,71660
"Trinity College of Florida","Florida","FL","Private","4 Year",6.65,16.34,22990,16340,22990
"Trinity International University","Illinois","IL","Private","4 Year",9.9,32.39,42290,32390,42290
"Trinity University","Texas","TX","Private","4 Year",13.464,42.976,56440,42976,56440
"Trinity Valley Community College","Texas","TX","Public","2 Year",6.59,2.64,9230,5970,12560
"Troy University","Alabama","AL","Public","4 Year",8.185,12.46,20645,22875,31060
"Truett McConnell University","Georgia","GA","Private","4 Year",7.55,20.23,27780,20230,27780
"Truman State University","Missouri","MO","Public","4 Year",8.78,7.729,16509,14581,23361
"Tufts University","Massachusetts","MA","Private","4 Year",14.56,56.382,70942,56382,70942
"Tulane University","Louisiana","LA","Private","4 Year",15.19,54.82,70010,54820,70010
"Tusculum College","Tennessee","TN","Private","4 Year",9.19,24.86,34050,24860,34050
"Tuskegee University","Alabama","AL","Private","4 Year",9.65,22.17,31820,22170,31820
"Tyler Junior College","Texas","TX","Public","2 Year",7.94,2.962,10902,5482,13422
"U.T.A. Mesivta-Kiryas Joel","New York","NY","Private","4 Year",4.6,11,15600,11000,15600
"Union College","Nebraska","NE","Private","4 Year",7.07,23.78,30850,23780,30850
"Union College","Kentucky","KY","Private","4 Year",7.6,27.14,34740,27140,34740
"Union College","New York","NY","Private","4 Year",13.563,55.29,68853,55290,68853
"Union University","Tennessee","TN","Private","4 Year",10.2,32.89,43090,32890,43090
"United Talmudical Seminary","New York","NY","Private","4 Year",1.5,13.8,15300,13800,15300
"United Tribes Technical College","North Dakota","ND","Private","2 Year",5.084,4.482,9566,4482,9566
"Unity College","Maine","ME","Private","4 Year",10.71,29.16,39870,29160,39870
"University of Akron","Ohio","OH","Public","4 Year",12.2,11.463,23663,17750,29950
"University of Alabama","Alabama","AL","Public","4 Year",10.102,10.78,20882,29230,39332
"University of Alabama at Birmingham","Alabama","AL","Public","4 Year",6.4,10.71,17110,24630,31030
"University of Alabama in Huntsville","Alabama","AL","Public","4 Year",10.094,10.714,20808,22362,32456
"University of Alaska Anchorage","Alaska","AK","Public","4 Year",12.2,7.688,19888,23858,36058
"University of Alaska Fairbanks","Alaska","AK","Public","4 Year",8.93,8.087,17017,24257,33187
"University of Alaska Southeast","Alaska","AK","Public","4 Year",9.2,7.092,16292,19404,28604
"University of Antelope Valley","California","CA","Private","4 Year",6.64,17.738,24378,17738,24378
"University of Arizona","Arizona","AZ","Public","4 Year",12.55,12.487,25037,36386,48936
"University of Arkansas","Arkansas","AR","Public","4 Year",11.02,9.13,20150,25168,36188
"University of Arkansas at Fort Smith","Arkansas","AR","Public","4 Year",8.416,7.128,15544,15969,24385
"University of Arkansas at Little Rock","Arkansas","AR","Public","4 Year",8.93,8.966,17896,21206,30136
"University of Arkansas at Monticello","Arkansas","AR","Public","4 Year",6.824,7.696,14520,13546,20370
"University of Arkansas at Pine Bluff","Arkansas","AR","Public","4 Year",7.881,7.842,15723,14094,21975
"University of Bridgeport","Connecticut","CT","Private","4 Year",13.86,32.85,46710,32850,46710
"University of California: Berkeley","California","CA","Public","4 Year",16.16,14.184,30344,43176,59336
"University of California: Davis","California","CA","Public","4 Year",16.211,14.463,30674,43458,59669
"University of California: Irvine","California","CA","Public","4 Year",15.263,15.614,30877,44606,59869
"University of California: Los Angeles","California","CA","Public","4 Year",15.816,13.774,29590,42766,58582
"University of California: Merced","California","CA","Public","4 Year",16.454,13.627,30081,41641,58095
"University of California: Riverside","California","CA","Public","4 Year",17.475,15.633,33108,44625,62100
"University of California: San Diego","California","CA","Public","4 Year",12.362,14.199,26561,43191,55553
"University of California: Santa Barbara","California","CA","Public","4 Year",15.273,14.424,29697,43416,58689
"University of California: Santa Cruz","California","CA","Public","4 Year",16.407,14.009,30416,42023,58430
"University of Central Arkansas","Arkansas","AR","Public","4 Year",6.854,8.751,15605,15274,22128
"University of Central Florida","Florida","FL","Public","4 Year",9.617,6.368,15985,22467,32084
"University of Central Missouri","Missouri","MO","Public","4 Year",8.766,7.673,16439,14442,23208
"University of Central Oklahoma","Oklahoma","OK","Public","4 Year",7.97,7.488,15458,18376,26346
"University of Charleston","West Virginia","WV","Private","4 Year",9.18,30.9,40080,30900,40080
"University of Chicago","Illinois","IL","Private","4 Year",16.35,58.23,74580,58230,74580
"University of Cincinnati","Ohio","OH","Public","4 Year",11.118,11,22118,26334,37452
"University of Colorado Boulder","Colorado","CO","Public","4 Year",14.418,12.532,26950,37286,51704
"University of Colorado Colorado Springs","Colorado","CO","Public","4 Year",10.5,10.463,20963,24893,35393
"University of Connecticut","Connecticut","CT","Public","4 Year",12.874,15.73,28604,38098,50972
"University of Dallas","Texas","TX","Private","4 Year",12.4,40.652,53052,40652,53052
"University of Dayton","Ohio","OH","Private","4 Year",13.58,42.9,56480,42900,56480
"University of Delaware","Delaware","DE","Public","4 Year",12.862,13.68,26542,34310,47172
"University of Denver","Colorado","CO","Private","4 Year",13.005,50.556,63561,50556,63561
"University of Detroit Mercy","Michigan","MI","Private","4 Year",9.496,28,37496,28000,37496
"University of Dubuque","Iowa","IA","Private","4 Year",9.93,34.11,44040,34110,44040
"University of Evansville","Indiana","IN","Private","4 Year",12.46,36.416,48876,36416,48876
"University of Findlay","Ohio","OH","Private","4 Year",10,34.36,44360,34360,44360
"University of Florida","Florida","FL","Public","4 Year",10.12,6.381,16501,28658,38778
"University of Georgia","Georgia","GA","Public","4 Year",10.038,11.83,21868,30404,40442
"University of Great Falls","Montana","MT","Private","4 Year",9.2,25.318,34518,25318,34518
"University of Hartford","Connecticut","CT","Private","4 Year",12.476,40.694,53170,40694,53170
"University of Hawaii at Hilo","Hawaii","HI","Public","4 Year",11.406,7.72,19126,20680,32086
"University of Hawaii at Manoa","Hawaii","HI","Public","4 Year",13.689,11.97,25659,34002,47691
"University of Hawaii: Hawaii Community College","Hawaii","HI","Public","2 Year",10.418,3.915,14333,10515,20933
"University of Houston","Texas","TX","Public","4 Year",10.27,12.506,22776,27956,38226
"University of Houston-Victoria","Texas","TX","Public","4 Year",8.045,7.97,16015,20420,28465
"University of Idaho","Idaho","ID","Public","4 Year",8.88,7.864,16744,25500,34380
"University of Illinois at Chicago","Illinois","IL","Public","4 Year",12.074,13.764,25838,26980,39054
"University of Illinois at Urbana-Champaign","Illinois","IL","Public","4 Year",11.308,15.094,26402,31664,42972
"University of Illinois: Springfield","Illinois","IL","Public","4 Year",11.66,11.813,23473,21338,32998
"University of Indianapolis","Indiana","IN","Private","4 Year",10.288,29.688,39976,29688,39976
"University of Iowa","Iowa","IA","Public","4 Year",11.172,9.267,20439,31233,42405
"University of Jamestown","North Dakota","ND","Private","4 Year",7.57,21.976,29546,21976,29546
"University of Kansas","Kansas","KS","Public","4 Year",10.35,11.148,21498,27358,37708
"University of Kentucky","Kentucky","KY","Public","4 Year",12.982,12.245,25227,29099,42081
"University of La Verne","California","CA","Private","4 Year",12.85,43.05,55900,43050,55900
"University of Louisiana at Lafayette","Louisiana","LA","Public","4 Year",8.516,10.616,19132,24344,32860
"University of Louisiana at Monroe","Louisiana","LA","Public","4 Year",7.85,8.734,16584,20834,28684
"University of Louisville","Kentucky","KY","Public","4 Year",9.226,11.656,20882,27278,36504
"University of Lynchburg","Virginia","VA","Private","4 Year",10.8,39.53,50330,39530,50330
"University of Maine","Maine","ME","Public","4 Year",10.418,11.17,21588,30970,41388
"University of Maine at Farmington","Maine","ME","Public","4 Year",9.726,9.666,19392,19778,29504
"University of Maine at Fort Kent","Maine","ME","Public","4 Year",8.22,8.115,16335,12315,20535
"University of Maine at Machias","Maine","ME","Public","4 Year",8.486,7.84,16326,15100,23586
"University of Maine at Presque Isle","Maine","ME","Public","4 Year",8.406,8.035,16441,12235,20641
"University of Mary","North Dakota","ND","Private","4 Year",6.89,18.72,25610,18720,25610
"University of Mary Hardin-Baylor","Texas","TX","Private","4 Year",8.446,28.75,37196,28750,37196
"University of Mary Washington","Virginia","VA","Public","4 Year",11.118,12.188,23306,27434,38552
"University of Maryland: Baltimore County","Maryland","MD","Public","4 Year",11.696,11.778,23474,26872,38568
"University of Maryland: College Park","Maryland","MD","Public","4 Year",12.429,10.595,23024,35216,47645
"University of Maryland: Eastern Shore","Maryland","MD","Public","4 Year",9.864,8.302,18166,18508,28372
"University of Massachusetts Amherst","Massachusetts","MA","Public","4 Year",13.202,16.072,29274,34755,47957
"University of Massachusetts Boston","Massachusetts","MA","Public","4 Year",16.29,14.167,30457,33966,50256
"University of Massachusetts Dartmouth","Massachusetts","MA","Public","4 Year",13.582,13.921,27503,29141,42723
"University of Massachusetts Lowell","Massachusetts","MA","Public","4 Year",12.748,15.18,27928,32827,45575
"University of Memphis","Tennessee","TN","Public","4 Year",9.975,9.701,19676,21413,31388
"University of Miami","Florida","FL","Private","4 Year",14.108,50.226,64334,50226,64334
"University of Michigan","Michigan","MI","Public","4 Year",11.534,15.262,26796,49350,60884
"University of Michigan: Flint","Michigan","MI","Public","4 Year",8.769,11.82,20589,22578,31347
"University of Minnesota: Crookston","Minnesota","MN","Public","4 Year",7.658,11.921,19579,11921,19579
"University of Minnesota: Duluth","Minnesota","MN","Public","4 Year",7.76,13.367,21127,18485,26245
"University of Minnesota: Morris","Minnesota","MN","Public","4 Year",8.342,13.314,21656,15342,23684
"University of Minnesota: Rochester","Minnesota","MN","Public","4 Year",9.71,13.352,23062,13352,23062
"University of Minnesota: Twin Cities","Minnesota","MN","Public","4 Year",10.312,14.693,25005,30371,40683
"University of Mississippi","Mississippi","MS","Public","4 Year",10.696,8.66,19356,24614,35310
"University of Missouri: Columbia","Missouri","MO","Public","4 Year",10.786,12.055,22841,29025,39811
"University of Missouri: Kansas City","Missouri","MO","Public","4 Year",10.334,9.884,20218,25010,35344
"University of Missouri: St. Louis","Missouri","MO","Public","4 Year",9.45,10.491,19941,27900,37350
"University of Mobile","Alabama","AL","Private","4 Year",9.6,22.82,32420,22820,32420
"University of Montana","Montana","MT","Public","4 Year",9.544,7.244,16788,24959,34503
"University of Montana: Western","Montana","MT","Public","4 Year",7.95,5.717,13667,17179,25129
"University of Montevallo","Alabama","AL","Public","4 Year",9.33,12.76,22090,25780,35110
"University of Mount Olive","North Carolina","NC","Private","4 Year",8.55,20.6,29150,20600,29150
"University of Mount Union","Ohio","OH","Private","4 Year",10.2,31.26,41460,31260,41460
"University of Nebraska - Kearney","Nebraska","NE","Public","4 Year",9.878,7.513,17391,14503,24381
"University of Nebraska - Lincoln","Nebraska","NE","Public","4 Year",11.43,9.154,20584,24949,36379
"University of Nebraska - Omaha","Nebraska","NE","Public","4 Year",9.95,8.417,18367,22689,32639
"University of Nevada: Las Vegas","Nevada","NV","Public","4 Year",10.504,7.985,18489,22457,32961
"University of Nevada: Reno","Nevada","NV","Public","4 Year",10.868,7.925,18793,22397,33265
"University of New England","Maine","ME","Private","4 Year",13.99,37.62,51610,37620,51610
"University of New Hampshire","New Hampshire","NH","Public","4 Year",11.58,18.499,30079,33879,45459
"University of New Haven","Connecticut","CT","Private","4 Year",15.9,39.27,55170,39270,55170
"University of New Mexico","New Mexico","NM","Public","4 Year",9.864,5.445,15309,26845,36709
"University of New Orleans","Louisiana","LA","Public","4 Year",10.575,9.054,19629,13890,24465
"University of North Alabama","Alabama","AL","Public","4 Year",9.2,10.37,19570,18680,27880
"University of North Carolina at Asheville","North Carolina","NC","Public","4 Year",9.106,7.145,16251,23868,32974
"University of North Carolina at Chapel Hill","North Carolina","NC","Public","4 Year",11.19,8.987,20177,35170,46360
"University of North Carolina at Charlotte","North Carolina","NC","Public","4 Year",11.1,7.044,18144,20478,31578
"University of North Carolina at Greensboro","North Carolina","NC","Public","4 Year",9.038,7.319,16357,22478,31516
